month,focus_group,전속_monthly_first_premium,전속_share_pct,전속_yoy,GA_대리점_monthly_first_premium,GA_대리점_share_pct,GA_대리점_yoy,방카슈랑스_monthly_first_premium,방카슈랑스_share_pct,방카슈랑스_yoy,CM_온라인_monthly_first_premium,CM_온라인_share_pct,CM_온라인_yoy,기타_monthly_first_premium,기타_share_pct,기타_yoy
2023-01,전체,23025523.557,27.381147947625273,,35044188.355000004,41.673324112579785,,5725095.985,6.808084072076784,,687474.243,0.8175203448106633,,19610333.703,23.31992352290751,
2023-01,보장성보험,125172.31,27.661289834273546,,318515.63,70.3873976455035,,0,0,,0,0,,8830.04,1.9513125202229538,
2023-02,전체,478705,19.68643196249654,,533824,39.124406087598516,,-100,24.90158012681509,,175052,2.8648619021261337,,23129432,13.422719920963727,
2023-02,보장성보험,-39372592.795,24.28482601246319,,-78038699.63700001,75.71517398753682,,-14495133.472,0,,-5682462.674000001,0,,-4306882.651,0,
2023-03,전체,761477.7599999905,21.765969651115704,,746594.099999994,37.89615738913862,,-100,29.895823857506205,,242892,0.9455354627023356,,30400881.2,9.49651363953714,
2023-03,보장성보험,-75386583.43,23.890244508338505,,-130628410.24599999,76.1097554916615,,-25434013.163000003,0,,-3101651.7329999995,0,,-3211768.932,0,
2023-04,전체,910688.6700000018,22.995218036129025,,871833.5600000024,39.701742176990265,,-100,26.639306196897326,,270922,0.9851018195795311,,38814281.2,9.678631770403866,
2023-04,보장성보험,-98914886.07699999,32.36408241306213,,-170852129.853,67.63591758693788,,-34130222.732999995,0,,-4107327.774,0,,-4226654.259,0,
2023-05,전체,784364.4899999946,23.92399973510111,,863903.3599999845,41.39556001580059,,0,24.34714807196269,,300956,1.0268936340876251,,44199814.2,9.306398543047997,
2023-05,보장성보험,-123905229.307,34.38267481845227,,-214861253.42900002,65.5703950052324,,-44230560.802,0.00263052978534389,,-5138746.844,0.04124975692379839,,-5287290.916999999,0.0030498896061958145,
2023-06,전체,1064540.2600000203,24.085601338251585,,1271646.219999969,42.098263234851714,,-100,23.88035098456747,,331466,1.0228253361531003,,51241979.199999996,8.912959106176144,
2023-06,보장성보험,-151193270.983,30.324461923484503,,-263948472.33900002,69.64704053744283,,-53675595.001,0.0015973437823025886,,-6266989.342,0.025048202499295666,,-6416262.225000001,0.0018519927910754653,
2023-07,전체,1197599.6100000143,24.24951961001711,-0.9479881703000004,1393466.2400000095,42.47751965690993,-0.960236880766531,-100,23.107108333649833,-1.0000174669560584,362397,1.0189933037272392,-0.4728573416531621,61048191.20000001,9.146859095695882,2.11306233359307
2023-07,보장성보험,-176505287.65600002,30.475136054257028,-1411.0985086557885,-308901201.01100004,69.4995963052087,-970.8148910651576,-62439260.223,0.0014163015409136622,,-7254923.646,0.022209250250269312,,-7493097.017,0.0016420887430883039,-849.5915145344754
2023-08,전체,1321425.3400000036,25.87530141715913,1.7604168329138061,1493092,45.543935779783205,1.7969742836590337,-100,26.32964087748524,0,392694,1.06523377393128,1.24329913397162,623726.0600000005,1.1858881516411484,-0.9730332305609579
2023-08,보장성보험,-205764099.422,30.389229998410922,4.22607440392217,-362518502.107,64.07006532135604,3.6453683082018107,-71540652.15799999,0.0013039886997110338,3.935494543475149,-8291742.43,0.020448054682425193,0.4591811518514163,-8485023.988,5.518952636850903,0.9701080051553976
2023-09,전체,1613912.3700000048,26.144781742703866,1.1194478089550837,1549054.3400000334,45.848604979234345,1.0748279955601654,-100,25.81067547950129,0,421251,1.043860347740392,0.7343140161059236,768094.5999999996,1.1520774508201086,-0.9747344626313004
2023-09,보장성보험,-234262832.918,30.53302754556148,2.107487065460714,-411268434.0379999,69.46697245443852,2.1483842853441866,-78635922.19600001,0,2.091762267010037,-9198394.991,0,1.9656440447951486,-9849537.765,0,2.0667018622870224
2023-10,전체,1762960.300000012,25.71006412861444,0.935853994977239,1642513.3600000143,45.34696227469571,0.8839758359382378,-100,26.77218770354939,0,469282,1.025773104600786,0.7321664538132747,803147.6000000015,1.1450127885396573,-0.9793079357605107
2023-10,보장성보험,-257891647.041,30.470195411123534,1.6072076435517,-455385429.675,69.52098638323069,1.665377540606667,-84249909.462,0,1.4684840213638581,-10104290.108,0,1.460064222768309,-11001327.186999999,0.008818205645757762,1.6028453033683538
2023-11,전체,1932653.4000000358,26.066204538116867,1.4639736049244771,1861551.3600000143,46.17635770836358,1.1548143533092032,-100,25.550449557310944,,513630,1.035729680189667,0.7066614388814312,853192.5999999996,1.171258516018966,-0.9806969188571838
2023-11,보장성보험,-282904862.11,30.622356607711737,1.28323585446944,-502126783.246,69.3694105114156,1.3369815414947563,-90618036.198,0,1.0487652554001183,-11035841.245000001,0,1.1475744145453377,-12213658.658,0.008232880872667587,1.3100031471182998
2023-12,전체,2474174.100000024,26.4860695392737,1.3241714690997002,2275764.7000000477,47.130203209126655,0.7896209371818077,-100,24.13815144478957,0,721720,1.0660592226121173,1.1773575570345074,887175.5999999996,1.1795165841979594,-0.9826865469708477
2023-12,보장성보험,-308413351.112,30.53196659488076,1.039861622854086,-550515219.9050001,69.46045714995648,1.0856920103631078,-94402976.244,0,0.7587690689267856,-12036269.429000001,0,0.9205823996437237,-13251467.698,0.00757625516274677,1.0652939723017631
2024-01,전체,27104318.773000002,21.920127926066208,21.632204074448286,47420490.549,38.350464656811674,33.030598795848604,47030833.732,38.03533674869349,-470309.33732,1166779.4430000002,0.9436117862346645,2.2196167269596607,927945.167,0.7504588821939794,-0.9847997926103992
2024-01,보장성보험,216115.35,33.16716556326863,-1.0012244128936307,435478.919,66.83283443673137,-1.0014097676460136,0,0,-1,0,0,-1,0,0,-1
2024-02,전체,434245.5,26.47307523521055,-0.6713809801770573,372152.9999999851,46.56100120749732,-0.750750121224958,0,24.963066872388946,-1,132821,1.0302058172134267,-0.6617697240090248,152669,0.9726508676897611,-0.7552306857276416
2024-02,보장성보험,-51849393.864,33.55623605796934,-0.7480153534574441,-92874739.15599999,66.44376394203066,-0.7438068991894174,-51170734.9,0,-0.28473205993443185,-1986752.057,0,-0.7603939010681497,-1881582.6320000002,0,-0.7782466337560106
2024-03,전체,613288.8999999911,27.974840785824306,-0.6199986372246535,500580.2000000179,50.937180378019676,-0.6768478761048453,0,19.016735548327627,-1,179521,1.0657149313965844,-0.5738384003836192,209585,1.0055283564318265,-0.7271364751164764
2024-03,보장성보험,-84665457.994,32.21065276055202,-0.638587748046077,-156422591.889,67.78934723944798,-0.619658162545616,-59958958.001,0,-0.23751186065380755,-3192857.256,0,-0.6528897422730822,-3003528.3440000005,0,-0.6950589544747027
2024-04,전체,768376.8400000036,28.691168629093234,-0.5641553357724514,607527.3400000036,52.478050195173964,-0.6301233494989664,0,16.68076149062713,-1,211741,1.0887858198963818,-0.5487979509122447,269695.28000000026,1.0612338652092994,-0.6642020968499442
2024-04,보장성보험,-108901745.374,30.948475017178257,-0.5777228668569997,-200071464.24600002,68.36049072041534,-0.5606546647994706,-65723486.223000005,0.6910342624063945,-0.21989843499305045,-4099351.275,0,-0.5942959642702292,-3970692.5889999997,0,-0.6390714936928636
2024-05,전체,933192.400000006,29.201162806532903,-0.5171444605639125,760333.3110000193,53.69743195442611,-0.5915593158815594,0,14.895887481192698,-1,255301,1.099726392744366,-0.5029476471389911,316397.27999999933,1.1057913651039153,-0.6291607780001849
