month,product_group,monthly_first_premium_flow,monthly_first_premium_yoy,monthly_first_premium_ma3,monthly_renewal_premium_flow,monthly_renewal_premium_yoy,monthly_renewal_premium_ma3,lump_sum_first_premium_flow,lump_sum_first_premium_yoy,total_amount_flow,total_amount_yoy,total_amount_ma3
2023-06,보장성보험,82028511,,74462394,5118774664,,5088496522,581525,,5233097571,,5194859777
2023-06,저축성보험,100002,,387633.6666666667,58623481,,61169265,15590747,,76915267,,70922383.33333333
2023-06,단체보험,595136,,868996.3333333334,22651786,,25401273.666666668,0,,23577834,,26617892
2023-06,표준형,53729271,,51642579,4426185708,,4414671743.666667,581525,,4494340943,,4481113851.666667
2023-06,무저해지환급형,28299240,,22819815,692588956,,673824778.3333334,0,,738756628,,713745925.3333334
2023-06,표준형_질병보험,11979826,,12357440.333333334,1275720628,,1275094725.6666667,31300,,1289562433,,1289353441.3333333
2023-06,표준형_상해,12700674,,11711549.333333334,1372801471,,1365052530,24189,,1390566464,,1381224223.3333333
2023-06,표준형_실손의료,3083528,,3078489.3333333335,211995859,,206710600,0,,215416979,,210377926.33333334
2023-06,표준형_운전자,14353880,,10818360.666666666,437957499,,436427452,0,,453959468,,448895307.6666667
2023-06,표준형_어린이,4407647,,5574461.666666667,398941250,,397137083.3333333,5393,,403576835,,403686802
2023-06,표준형_치매간병,519860,,1731412.3333333333,70463104,,70988371.66666667,0,,71750180,,73520189.33333333
2023-06,무저해지형_질병보험,11139090,,10276724.333333334,268365725,,260607739,0,,280410243,,271663051.3333333
2023-06,무저해지형_상해,6395779,,4461526,184442152,,179997058.33333334,0,,191458073,,185139135.66666666
2023-06,무저해지형_어린이,4934900,,5053572,207133315,,202308695,0,,212068300,,207411333
2023-06,무저해지형_치매간병,5829471,,3027992.6666666665,32647764,,30911286,0,,54820012,,49532405.333333336
2023-07,원리금보장형장기손해보험합계,75845538,,77212019.03666668,5258388921,,5210933209.425,10241364,,5376212005,,5330845336.682
2023-07,개인보험,75326376,,76671973.20166667,5235603938,,5188242054.417333,10241364,,5352748903,,5307336025.898334
2023-07,보장성보험,75213062,,76282441.34833334,5137738532,,5115784291.175667,245997,,5242742589,,5223447438.436667
2023-07,저축성보험,113314,,389531.85333333333,97865406,,72457763.24166667,9995367,,110006314,,83888587.46166666
2023-07,단체보험,519162,,540045.835,22784983,,22691155.007666666,0,,23463102,,23509310.783666667
2023-07,표준형,51852866,,52732009.322333336,4426949474,,4423992551.427667,245997,,4491169010,,4491249511.525001
2023-07,무저해지환급형,23360196,,23550432.025999997,710789058,,691791739.748,0,,751573579,,732197926.9116668
2023-07,표준형_질병보험,12287152,,12639503.413666666,1272145605,,1275405940.5046666,66646,,1286303527,,1289973693.3556669
2023-07,표준형_상해,14512404,,12488839.304666666,1373913427,,1370875887.6823332,3,,1392892109,,1387820740.2603333
2023-07,표준형_실손의료,2772718,,3095587.342666667,215374710,,211215879.25899997,0,,218410029,,214892421.205
2023-07,표준형_운전자,9417960,,10451805.183333332,442464461,,439314756.218,0,,453586043,,451481435.76500005
2023-07,표준형_어린이,4184492,,5556250.333333333,398895970,,397901579.6563334,2001,,403273699,,404436166.323
2023-07,표준형_치매간병,1743621,,2114804.501,69518474,,70335904.89333333,0,,71785889,,73199972.27100001
2023-07,무저해지형_질병보험,11859453,,11075924.938333333,275884398,,268254925.71866667,0,,288182202,,280024720.7
2023-07,무저해지형_상해,5230336,,4168533.6206666664,187500719,,183830893.72,0,,193394532,,188656378.34066665
2023-07,무저해지형_어린이,5192564,,5024092.948666667,210353477,,206696363.854,0,,215550056,,211770214.46933332
2023-07,무저해지형_치매간병,342989,,3036929.185,36995936,,32991380.455333333,0,,53657407,,51483486.068333335
2023-08,원리금보장형장기손해보험합계,88136781,,82235322.66666667,5246879932,,5235106261.333333,33478531,,5401896081,,5370566252.666667
2023-08,개인보험,87705618,,81720169,5223877903,,5212293328.666667,33478531,,5378297760,,5347019833.666667
2023-08,보장성보험,87611617,,81617730,5170683511,,5142398902.333333,336321,,5290610130,,5255483430
2023-08,저축성보험,94001,,102439,53194392,,69894426.33333333,33142210,,87687630,,91536403.66666667
2023-08,단체보험,431163,,515153.6666666667,23002029,,22812932.666666668,0,,23598321,,23546419
2023-08,표준형,52381489,,52654542,4441593629,,4431576270.333333,336321,,4505066071,,4496858674.666667
2023-08,무저해지환급형,35230128,,28963188,729089882,,710822632,0,,785544059,,758624755.3333334
2023-08,표준형_질병보험,12900731,,12389236.333333334,1274220881,,1274029038,42306,,1288667391,,1288177783.6666667
2023-08,표준형_상해,14793299,,14002125.666666666,1378433439,,1375049445.6666667,24790,,1397193247,,1393550606.6666667
2023-08,표준형_실손의료,2906042,,2920762.6666666665,219906151,,215758906.66666666,0,,223065764,,218964257.33333334
2023-08,표준형_운전자,9193010,,10988283.333333334,444928718,,441783559.3333333,0,,455497948,,454347819.6666667
